"year","ten_digit","region","province","muni_city","dot_region","dot_province","dot_municity","foreign_travelers","overseas_filipinos","domestic_travelers","total","correspondence_code","pop_2020","correspondence_code_mod"
2019,102808000,"Region I (Ilocos Region)","Ilocos Norte","Currimao","Region I  (ILOCOS REGION)","Ilocos Norte","Currimao",195,NA,15989,16184,12808000,12215,"012808000"
2019,102812000,"Region I (Ilocos Region)","Ilocos Norte","Laoag City","Region I  (ILOCOS REGION)","Ilocos Norte","Laoag City",16744,NA,66529,83273,12812000,111651,"012812000"
2019,102815000,"Region I (Ilocos Region)","Ilocos Norte","Pagudpud","Region I  (ILOCOS REGION)","Ilocos Norte","Pagudpud",30752,NA,353449,384201,12815000,25098,"012815000"
2019,102820000,"Region I (Ilocos Region)","Ilocos Norte","San Nicolas","Region I  (ILOCOS REGION)","Ilocos Norte","San Nicolas",1326,NA,35896,37222,12820000,38895,"012820000"
2019,102903000,"Region I (Ilocos Region)","Ilocos Sur","Bantay","Region I  (ILOCOS REGION)","Ilocos Sur","Bantay",1074,NA,36146,37220,12903000,37118,"012903000"
2019,102906000,"Region I (Ilocos Region)","Ilocos Sur","Candon City","Region I  (ILOCOS REGION)","Ilocos Sur","Candon City",593,NA,73381,73974,12906000,61432,"012906000"
2019,102934000,"Region I (Ilocos Region)","Ilocos Sur","Vigan City","Region I  (ILOCOS REGION)","Ilocos Sur","Vigan City",4406,NA,281422,285828,12934000,53935,"012934000"
2019,103301000,"Region I (Ilocos Region)","La Union","Agoo","Region I  (ILOCOS REGION)","La Union","Agoo",15,NA,36218,36233,13301000,66028,"013301000"
2019,103303000,"Region I (Ilocos Region)","La Union","Bacnotan","Region I  (ILOCOS REGION)","La Union","Bacnotan",11,NA,25928,25939,13303000,44388,"013303000"
2019,103305000,"Region I (Ilocos Region)","La Union","Balaoan","Region I  (ILOCOS REGION)","La Union","Baloaon",47,39,5528,5614,13305000,40339,"013305000"
2019,103307000,"Region I (Ilocos Region)","La Union","Bauang","Region I  (ILOCOS REGION)","La Union","Bauang",3150,NA,99697,102847,13307000,78449,"013307000"
2019,103309000,"Region I (Ilocos Region)","La Union","Caba","Region I  (ILOCOS REGION)","La Union","Caba",150,NA,13765,13915,13309000,23119,"013309000"
2019,103312000,"Region I (Ilocos Region)","La Union","Pugo","Region I  (ILOCOS REGION)","La Union","Pugo",813,NA,3978,4791,13312000,19337,"013312000"
2019,103313000,"Region I (Ilocos Region)","La Union","Rosario","Region I  (ILOCOS REGION)","La Union","Rosario",192,NA,6645,6837,13313000,60278,"013313000"
2019,103314000,"Region I (Ilocos Region)","La Union","San Fernando City","Region I  (ILOCOS REGION)","La Union","San Fernando City",6936,NA,85854,92790,13314000,125640,"013314000"
