"year","ten_digit","region","province","muniCity","dot_region","dot_province","dot_municity","total","correspondence_code","pop_2020","id","traveler","count"
2019,102808000,"Region I (Ilocos Region)","Ilocos Norte","Currimao","Region I  (ILOCOS REGION)","Ilocos Norte","Currimao",16184,12808000,12215,"012808000","foreign",195
2019,102808000,"Region I (Ilocos Region)","Ilocos Norte","Currimao","Region I  (ILOCOS REGION)","Ilocos Norte","Currimao",16184,12808000,12215,"012808000","overseas",NA
2019,102808000,"Region I (Ilocos Region)","Ilocos Norte","Currimao","Region I  (ILOCOS REGION)","Ilocos Norte","Currimao",16184,12808000,12215,"012808000","domestic",15989
2019,102812000,"Region I (Ilocos Region)","Ilocos Norte","Laoag City","Region I  (ILOCOS REGION)","Ilocos Norte","Laoag City",83273,12812000,111651,"012812000","foreign",16744
2019,102812000,"Region I (Ilocos Region)","Ilocos Norte","Laoag City","Region I  (ILOCOS REGION)","Ilocos Norte","Laoag City",83273,12812000,111651,"012812000","overseas",NA
2019,102812000,"Region I (Ilocos Region)","Ilocos Norte","Laoag City","Region I  (ILOCOS REGION)","Ilocos Norte","Laoag City",83273,12812000,111651,"012812000","domestic",66529
2019,102815000,"Region I (Ilocos Region)","Ilocos Norte","Pagudpud","Region I  (ILOCOS REGION)","Ilocos Norte","Pagudpud",384201,12815000,25098,"012815000","foreign",30752
2019,102815000,"Region I (Ilocos Region)","Ilocos Norte","Pagudpud","Region I  (ILOCOS REGION)","Ilocos Norte","Pagudpud",384201,12815000,25098,"012815000","overseas",NA
2019,102815000,"Region I (Ilocos Region)","Ilocos Norte","Pagudpud","Region I  (ILOCOS REGION)","Ilocos Norte","Pagudpud",384201,12815000,25098,"012815000","domestic",353449
2019,102820000,"Region I (Ilocos Region)","Ilocos Norte","San Nicolas","Region I  (ILOCOS REGION)","Ilocos Norte","San Nicolas",37222,12820000,38895,"012820000","foreign",1326
2019,102820000,"Region I (Ilocos Region)","Ilocos Norte","San Nicolas","Region I  (ILOCOS REGION)","Ilocos Norte","San Nicolas",37222,12820000,38895,"012820000","overseas",NA
2019,102820000,"Region I (Ilocos Region)","Ilocos Norte","San Nicolas","Region I  (ILOCOS REGION)","Ilocos Norte","San Nicolas",37222,12820000,38895,"012820000","domestic",35896
2019,102903000,"Region I (Ilocos Region)","Ilocos Sur","Bantay","Region I  (ILOCOS REGION)","Ilocos Sur","Bantay",37220,12903000,37118,"012903000","foreign",1074
2019,102903000,"Region I (Ilocos Region)","Ilocos Sur","Bantay","Region I  (ILOCOS REGION)","Ilocos Sur","Bantay",37220,12903000,37118,"012903000","overseas",NA
2019,102903000,"Region I (Ilocos Region)","Ilocos Sur","Bantay","Region I  (ILOCOS REGION)","Ilocos Sur","Bantay",37220,12903000,37118,"012903000","domestic",36146
2019,102906000,"Region I (Ilocos Region)","Ilocos Sur","Candon City","Region I  (ILOCOS REGION)","Ilocos Sur","Candon City",73974,12906000,61432,"012906000","foreign",593
2019,102906000,"Region I (Ilocos Region)","Ilocos Sur","Candon City","Region I  (ILOCOS REGION)","Ilocos Sur","Candon City",73974,12906000,61432,"012906000","overseas",NA
2019,102906000,"Region I (Ilocos Region)","Ilocos Sur","Candon City","Region I  (ILOCOS REGION)","Ilocos Sur","Candon City",73974,12906000,61432,"012906000","domestic",73381
2019,102934000,"Region I (Ilocos Region)","Ilocos Sur","Vigan City","Region I  (ILOCOS REGION)","Ilocos Sur","Vigan City",285828,12934000,53935,"012934000","foreign",4406
2019,102934000,"Region I (Ilocos Region)","Ilocos Sur","Vigan City","Region I  (ILOCOS REGION)","Ilocos Sur","Vigan City",285828,12934000,53935,"012934000","overseas",NA
2019,102934000,"Region I (Ilocos Region)","Ilocos Sur","Vigan City","Region I  (ILOCOS REGION)","Ilocos Sur","Vigan City",285828,12934000,53935,"012934000","domestic",281422
2019,103301000,"Region I (Ilocos Region)","La Union","Agoo","Region I  (ILOCOS REGION)","La Union","Agoo",36233,13301000,66028,"013301000","foreign",15
2019,103301000,"Region I (Ilocos Region)","La Union","Agoo","Region I  (ILOCOS REGION)","La Union","Agoo",36233,13301000,66028,"013301000","overseas",NA
2019,103301000,"Region I (Ilocos Region)","La Union","Agoo","Region I  (ILOCOS REGION)","La Union","Agoo",36233,13301000,66028,"013301000","domestic",36218
2019,103303000,"Region I (Ilocos Region)","La Union","Bacnotan","Region I  (ILOCOS REGION)","La Union","Bacnotan",25939,13303000,44388,"013303000","foreign",11
2019,103303000,"Region I (Ilocos Region)","La Union","Bacnotan","Region I  (ILOCOS REGION)","La Union","Bacnotan",25939,13303000,44388,"013303000","overseas",NA
2019,103303000,"Region I (Ilocos Region)","La Union","Bacnotan","Region I  (ILOCOS REGION)","La Union","Bacnotan",25939,13303000,44388,"013303000","domestic",25928
2019,103305000,"Region I (Ilocos Region)","La Union","Balaoan","Region I  (ILOCOS REGION)","La Union","Baloaon",5614,13305000,40339,"013305000","foreign",47
2019,103305000,"Region I (Ilocos Region)","La Union","Balaoan","Region I  (ILOCOS REGION)","La Union","Baloaon",5614,13305000,40339,"013305000","overseas",39
2019,103305000,"Region I (Ilocos Region)","La Union","Balaoan","Region I  (ILOCOS REGION)","La Union","Baloaon",5614,13305000,40339,"013305000","domestic",5528
2019,103307000,"Region I (Ilocos Region)","La Union","Bauang","Region I  (ILOCOS REGION)","La Union","Bauang",102847,13307000,78449,"013307000","foreign",3150
2019,103307000,"Region I (Ilocos Region)","La Union","Bauang","Region I  (ILOCOS REGION)","La Union","Bauang",102847,13307000,78449,"013307000","overseas",NA
2019,103307000,"Region I (Ilocos Region)","La Union","Bauang","Region I  (ILOCOS REGION)","La Union","Bauang",102847,13307000,78449,"013307000","domestic",99697
2019,103309000,"Region I (Ilocos Region)","La Union","Caba","Region I  (ILOCOS REGION)","La Union","Caba",13915,13309000,23119,"013309000","foreign",150
2019,103309000,"Region I (Ilocos Region)","La Union","Caba","Region I  (ILOCOS REGION)","La Union","Caba",13915,13309000,23119,"013309000","overseas",NA
2019,103309000,"Region I (Ilocos Region)","La Union","Caba","Region I  (ILOCOS REGION)","La Union","Caba",13915,13309000,23119,"013309000","domestic",13765
2019,103312000,"Region I (Ilocos Region)","La Union","Pugo","Region I  (ILOCOS REGION)","La Union","Pugo",4791,13312000,19337,"013312000","foreign",813
2019,103312000,"Region I (Ilocos Region)","La Union","Pugo","Region I  (ILOCOS REGION)","La Union","Pugo",4791,13312000,19337,"013312000","overseas",NA
2019,103312000,"Region I (Ilocos Region)","La Union","Pugo","Region I  (ILOCOS REGION)","La Union","Pugo",4791,13312000,19337,"013312000","domestic",3978
2019,103313000,"Region I (Ilocos Region)","La Union","Rosario","Region I  (ILOCOS REGION)","La Union","Rosario",6837,13313000,60278,"013313000","foreign",192
2019,103313000,"Region I (Ilocos Region)","La Union","Rosario","Region I  (ILOCOS REGION)","La Union","Rosario",6837,13313000,60278,"013313000","overseas",NA
2019,103313000,"Region I (Ilocos Region)","La Union","Rosario","Region I  (ILOCOS REGION)","La Union","Rosario",6837,13313000,60278,"013313000","domestic",6645
2019,103314000,"Region I (Ilocos Region)","La Union","San Fernando City","Region I  (ILOCOS REGION)","La Union","San Fernando City",92790,13314000,125640,"013314000","foreign",6936
2019,103314000,"Region I (Ilocos Region)","La Union","San Fernando City","Region I  (ILOCOS REGION)","La Union","San Fernando City",92790,13314000,125640,"013314000","overseas",NA
2019,103314000,"Region I (Ilocos Region)","La Union","San Fernando City","Region I  (ILOCOS REGION)","La Union","San Fernando City",92790,13314000,125640,"013314000","domestic",85854
2019,103316000,"Region I (Ilocos Region)","La Union","San Juan","Region I  (ILOCOS REGION)","La Union","San Juan",299914,13316000,40507,"013316000","foreign",5748
